ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,STATUS
5008804,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7
5008805,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7
5008806,1,1,1,0,112500,4,4,1,1,21474,1134,1,0,0,0,2,7
5008808,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7
5008809,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7
5008810,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7
5008811,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7
5008812,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7
5008813,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7
5008814,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7
5008815,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,0
5112956,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,7
5008819,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7
5008820,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7
5008821,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7
5008822,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7
5008823,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7
5008824,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,0
5008825,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,1
5008826,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,6
5008830,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7
5008831,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7
5008832,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7
5008834,0,0,1,1,112500,4,4,3,1,10968,1620,1,0,0,0,2,6
5008835,0,0,1,1,112500,4,4,3,1,10968,1620,1,0,0,0,2,7
5008838,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,7
5008839,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6
5008840,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6
5008841,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,7
5008842,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,0
5008843,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6
5008844,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6
5008846,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0
5008847,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6
5008849,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,7
5008850,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0
5008851,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0
5008852,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0
5008853,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6
5008854,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008855,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008856,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008857,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008858,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,6
5008859,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008860,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008861,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008862,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008863,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008864,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5008865,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008866,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0
5008867,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7
5112846,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,6
5008868,0,0,1,1,211500,2,4,0,1,16212,7099,1,0,0,0,3,0
5008870,0,0,1,1,211500,2,4,0,1,16212,7099,1,0,0,0,3,0
5008872,1,1,1,0,360000,0,4,1,1,16670,5364,1,0,1,0,2,7
5008873,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008874,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008875,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008876,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008877,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008878,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,1
5008879,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008880,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008881,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008882,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6
5008884,0,0,1,0,315000,1,4,4,1,20186,365243,1,0,0,0,1,7
5008888,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7
5008889,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7
5008890,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7
5112847,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7
5008891,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008892,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008893,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008894,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008895,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008896,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008897,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008898,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008899,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008900,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008901,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008902,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008903,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008904,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008905,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008906,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008907,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008908,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008909,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008910,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008911,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008912,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008913,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008914,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008915,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008916,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008917,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008918,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008919,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008920,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008921,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008922,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008923,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008924,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008925,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008926,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008927,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008928,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008929,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008930,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008931,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008932,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7
5008933,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008934,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008935,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008936,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
5008937,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6
