,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,STATUS,P_CLUSTERS
0,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7,1
1,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7,1
2,1,1,1,0,112500,4,4,1,1,21474,1134,1,0,0,0,2,7,0
3,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,1
4,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,1
5,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,1
6,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,1
7,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7,2
8,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7,2
9,0,0,1,0,283500,1,1,2,1,22464,365243,1,0,0,0,1,7,2
10,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,0,1
11,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,7,1
12,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,0
13,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,0
14,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,0
15,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,0
16,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,0
17,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,0,0
18,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,1,0
19,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,6,0
