,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,STATUS,P_CLUSTERS
0,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7,2
1,1,1,1,0,427500,4,1,0,4,12005,4542,1,1,0,0,2,7,2
2,1,1,1,0,112500,4,4,1,1,21474,1134,1,0,0,0,2,7,1
3,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,0
4,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,0
5,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,0
6,0,0,1,0,270000,0,4,3,1,19110,3051,1,0,1,1,1,7,0
7,0,0,1,0,283500,1,1,2,1,22464,0,1,0,0,0,1,7,0
8,0,0,1,0,283500,1,1,2,1,22464,0,1,0,0,0,1,7,0
9,0,0,1,0,283500,1,1,2,1,22464,0,1,0,0,0,1,7,0
10,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,0,0
11,1,1,1,0,270000,4,1,1,1,16872,769,1,1,1,1,2,7,0
12,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,1
13,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,1
14,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,1
15,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,1
16,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,7,1
17,1,1,1,0,135000,0,4,1,1,17778,1194,1,0,0,0,2,0,1
18,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,1,1
19,0,1,0,0,130500,4,2,1,1,10669,1103,1,0,0,0,2,6,1
20,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7,1
21,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7,1
22,0,0,1,0,157500,4,4,1,1,10031,1469,1,0,1,0,2,7,1
23,0,0,1,1,112500,4,4,3,1,10968,1620,1,0,0,0,2,6,1
24,0,0,1,1,112500,4,4,3,1,10968,1620,1,0,0,0,2,7,1
27,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,7,2
28,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6,2
29,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6,2
30,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,7,2
31,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,0,2
32,1,0,1,1,405000,0,1,1,1,11842,2016,1,0,0,0,3,6,2
33,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6,1
34,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0,1
35,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6,1
36,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,7,1
37,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0,1
38,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0,1
39,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,0,1
40,1,1,1,0,112500,0,4,1,1,20502,4450,1,0,1,0,2,6,1
41,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
42,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
43,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
44,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
45,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,6,1
46,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
47,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
48,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
49,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
50,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
51,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
52,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
53,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,0,1
54,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,7,1
55,0,1,1,2,135000,4,4,1,1,15761,3173,1,0,0,0,4,6,1
56,0,0,1,1,211500,2,4,0,1,16212,7099,1,0,0,0,3,0,0
57,0,0,1,1,211500,2,4,0,1,16212,7099,1,0,0,0,3,0,0
58,1,1,1,0,360000,0,4,1,1,16670,5364,1,0,1,0,2,7,0
59,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
60,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
61,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
62,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
63,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
64,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,1,1
65,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
66,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
67,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
68,0,0,1,2,126000,0,1,1,1,12411,1773,1,0,0,1,4,6,1
69,0,0,1,0,315000,1,4,4,1,20186,0,1,0,0,0,1,7,0
70,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7,0
71,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7,0
72,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7,0
73,0,0,1,0,247500,0,1,2,4,17016,1347,1,0,0,0,1,7,0
74,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
75,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
76,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
77,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
78,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
79,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
80,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
81,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
82,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
83,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
84,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
85,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,7,0
86,0,0,1,0,297000,0,4,3,4,15519,3234,1,0,0,0,1,6,0
